Trait,Trait description,# lines measured,Phenotyped_sex,Reference
Paraquat resistance  (F),"Mean difference in centimetres climbed in three seconds following vial inversion, after 24 hours of exposure to sucrose or sucrose supplemented with paraquat (200 uM in 1% sucrose solution). Paraquat is a herbicide that causes oxidative stress in D. melanogaster. Higher values indicate greater resistance to paraquat and the effects of oxidative stress.",99,Female,Lovejoy et al (2021) Molecular Ecology
Paraquat resistance  (M),"Mean difference in centimetres climbed in three seconds following vial inversion, after 24 hours of exposure to sucrose or sucrose supplemented with paraquat (200 uM in 1% sucrose solution). Paraquat is a herbicide that causes oxidative stress in D. melanogaster. Higher values indicate greater resistance to paraquat and the effects of oxidative stress.",99,Male,Lovejoy et al (2021) Molecular Ecology
Paraquat resistance (F),Mean hours survived when exposed to food medium supplemented with paraquat (20 mM/50ml concentration). Paraquat is a herbicide that facilitates oxidative stress induced mortality. Higher values indicate greater resistance to oxidative stress.,167,Female,Weber et al (2012) PLOS One
Paraquat resistance (M),Mean hours survived when exposed to food medium supplemented with paraquat (20 mM/50ml concentration). Paraquat is a herbicide that facilitates oxidative stress induced mortality. Higher values indicate greater resistance to oxidative stress.,167,Male,Weber et al (2012) PLOS One
Permethrin knockdown (F),"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.",169,Female,Battlay et al (2018) G3
Permethrin knockdown (M),"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.",169,Male,Battlay et al (2018) G3
Permethrin mortality 24hr (F),"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.",169,Female,Battlay et al (2018) G3
Permethrin mortality 24hr (M),"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.",169,Male,Battlay et al (2018) G3
Phototaxis mid age (F),Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,191,Female,Carbone et al (2017) PNAS
Phototaxis mid age (M),Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,191,Male,Carbone et al (2017) PNAS
Phototaxis old (F),Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,185,Female,Carbone et al (2017) PNAS
Phototaxis old (M),Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,185,Male,Carbone et al (2017) PNAS
Phototaxis young (F),Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,191,Female,Carbone et al (2017) PNAS
Phototaxis young (M),Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,191,Male,Carbone et al (2017) PNAS
Posterior lobe shape PC1 (M),"Mean PC1 score for posterior lobe shape, calculated from 200 Fourier coefficients. The posterior lobe is a genital structure used to grasp the female oviscape to ensure stable genital coupling. PC1 explains 78% of the variation in shape, and describes the degree of beak-like protrusion at the tip of the posterior lobes. Higher values indicate a greater degree of beak-like postrusion.",155,Male,Takahara and Takahashi (2015) PLOS One
Posterior lobe shape PC2 (M),"Mean PC2 score for posterior lobe shape, calculated from 200 Fourier coefficients. The posterior lobe is a genital structure used to grasp the female oviscape to ensure stable genital coupling. PC1 explains 10% of the variation in shape, and describes the width of the posterior lobes. Higher values indicate wider lobes.",155,Male,Takahara and Takahashi (2015) PLOS One
Posterior lobe size (M),"Mean posterior lobe size, measured in pixels. The posterior lobe is a genital structure used to grasp the female oviscape to ensure stable genital coupling. Higher values indicate larger posterior lobes.",155,Male,Takahara and Takahashi (2015) PLOS One
Protein  (M),Estimated mass of soluble protein per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,145,Male,"Unckless, Rottschaefer and Lazzaro (2015) G3"
Protein high glucose diet (M),Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of protein.,147,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Protein low glucose diet (M),Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of protein.,150,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Protein medium glucose diet (M),Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of protein.,152,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Radiation resistance (M),"Mean survival 24 hours after exposure to radiation (Cs137, avg dose of 4.85 Gy/min. Total dose of 1382 Gy over the 4 hours and 45 minutes of continuous exposure). Higher values indicate greater radiation resistance.",161,Male,Vaisnav et al (2014) PLOS One
Rapid cold hardening 18C (F),"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 18C. Higher values indicate a greater plastic response.",181,Female,Gerken et al (2015) PNAS
Rapid cold hardening 18C (M),"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 18C. Higher values indicate a greater plastic response.",181,Male,Gerken et al (2015) PNAS
Rapid cold hardening 25C (F),"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C. Higher values indicate a greater plastic response.",184,Female,Gerken et al (2015) PNAS
Rapid cold hardening 25C (M),"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C. Higher values indicate a greater plastic response.",184,Male,Gerken et al (2015) PNAS
Rapid cold hardening old (F),"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C and RCH was measured when adults were 28-days old. Higher values indicate a greater plastic response.",96,Female,Everman and Morgan (2017) Evolution
Rapid cold hardening old (M),"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C and RCH was measured when adults were 28-days old. Higher values indicate a greater plastic response.",96,Male,Everman and Morgan (2017) Evolution
Rapid cold hardening young (F),"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C and RCH was measured when adults were 7-days old. Higher values indicate a greater plastic response.",96,Female,Everman and Morgan (2017) Evolution
Rapid cold hardening young (M),"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C and RCH was measured when adults were 7-days old. Higher values indicate a greater plastic response.",96,Male,Everman and Morgan (2017) Evolution
Sigma virus sensitivity (F),"Mean proportion of adults infected with sigma virus (DmelSV), 13 days post infection. Sigma virus is a rhabdovirus that naturally occurs in D. melanogaster. It causes flies paralysis in flies exposed to CO2. Higher values indicate a higher (???) proportion of paralysed flies after exposure to CO2, and therefore greater sensitivity to sigma virus.",189,Female,Magwire et al (2011) PLOS Genetics
Social aggression (M),Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in a mixed Sex environment for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,87,Male,Rohde et al (2017) Genetics
Social effect aggression (M),"Mean difference in aggressive behavior between male flies raised in social and socially isolated environments. Higher values indicate that males raised in a social environment were more aggressive than males experiencing isolation (the authors adjusted line means to meet normality expectations, we present udjusted means for the social and isolation line means).",87,Male,Rohde et al (2017) Genetics
Song interpulse interval (M),"Median interpulse interval (IPI) in the male courtship 'song'. Males in many Drosophila species produce a series of auditory pulses (a pulse 'song') when courting females, and the pause between pulses (IPI) varies greatly among species. Higher values indicate a longer IPI.",190,Male,"Turner, Miller and Cochrane (2013) Molecular Biology and Evolution"
Sprinter marathoner (F),The percent of activity performed in the first quarter of a two hour induced exercise period. The author reasons that this is a measure of the tendency to behave like a sprinter versus a marathoner. Note: this data is recoded from that recorded by Watanabe et al (2020).,135,Female,Riddle (2020) Journal of Experimental Biology
Sprinter marathoner (M),"The percent of activity performed in the first quarter of a two hour induced exercise period. The author reasons that this is a measure of the tendency to behave like a sprinter versus a marathoner. Higher values indicate that a greater proportion of activity was completed in the first 30 minutes, which corresponds to a 'sprinter' phenotype. Note: this data is recoded from that recorded by Watanabe et al (2020).",135,Male,Riddle (2020) Journal of Experimental Biology
Startle response  (F),Mean time a fly was active in the 45 seconds following a mechanical disturbance. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,192,Female,Jordan et al (2012) PLOS One
Startle response  (M),Mean time a fly was active in the 45 seconds following a mechanical disturbance. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,192,Male,Jordan et al (2012) PLOS One
Startle response  msb (F),Mean time a fly was active in the 45 seconds following a mechanical disturbance. Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,192,Female,Jordan et al (2012) PLOS One
Startle response  msb (M),Mean time a fly was active in the 45 seconds following a mechanical disturbance. Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,192,Male,Jordan et al (2012) PLOS One
Startle response (F),Mean time a fly was active in the 45 seconds following a mechanical disturbance. Higher values indicate a greater startle response.,204,Female,Mackay et al (2012) Nature
Startle response (M),Mean time a fly was active in the 45 seconds following a mechanical disturbance. Higher values indicate a greater startle response.,204,Male,Mackay et al (2012) Nature
Startle response variance (F),"Mean variance (the log of the within line standard deviation; ln(σE)) in the time a fly was active in the 45 seconds following a mechanical disturbance. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable startle response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).",201,Female,Morgante et al (2015) Scientific Reports
Startle response variance (M),"Mean variance (the log of the within line standard deviation; ln(σE)) in the time a fly was active in the 45 seconds following a mechanical disturbance. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable startle response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).",201,Male,Morgante et al (2015) Scientific Reports
Startle sensitivity msb (F),"Mean difference in startle response between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. Calculated as the difference between control and MSB conditions, divided by the population mean difference between control and MSB conditions. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.",192,Female,Jordan et al (2012) PLOS One
Startle sensitivity msb (M),"Mean difference in startle response between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. Calculated as the difference between control and MSB conditions, divided by the population mean difference between control and MSB conditions. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.",192,Male,Jordan et al (2012) PLOS One
Starvation resistance  (F),Mean hours survived in culture vials containing non-nutritive medium. Higher values indicate greater starvation resistance.,203,Female,Mackay et al (2012) Nature
Starvation resistance  (M),Mean hours survived in culture vials containing non-nutritive medium. Higher values indicate greater starvation resistance.,203,Male,Mackay et al (2012) Nature
Starvation resistance  (M),Adult mean survival in the absence of food after two days is here used as a measure of starvation resistance. Higher values indicate greater survival and therefore higher starvation resistance.,201,Male,Lee et al (2017) Genome Biology and Evolution
Starvation resistance high carb diet (M),"Survival time in hours for adult flies that were first flies maintained on a high carbohydrate diet (carbs:494.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",176,Male,Francis et al (2021) G3
Starvation resistance high fat diet (M),"Survival time in hours for adult flies that were first flies maintained on a high fat diet (carbs:44.15g/L, protein:52g/L, fat:17.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",175,Male,Francis et al (2021) G3
Starvation resistance high protein diet (M),"Survival time in hours for adult flies that were first flies maintained on a high protein diet (carbs:44.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",178,Male,Francis et al (2021) G3
Starvation resistance old (F),"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 28-days old. Higher values indicate flies that exhibited greater starvation resistance.",159,Female,Everman and Morgan (2017) Evolution
Starvation resistance old (M),"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 28-days old. Higher values indicate flies that exhibited greater starvation resistance.",159,Male,Everman and Morgan (2017) Evolution
Starvation resistance standard diet (M),"Survival time in hours for adult flies that were first flies maintained on the laboratories standard diet (carbs:119.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",178,Male,Francis et al (2021) G3
Starvation resistance variance (F),"Mean variance (the log of the within line standard deviation; ln(σE)) in the hours flies survived in culture vials containing non-nutritive medium. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable starvation resistance response, and therefore greater micro-environmental plasticity. Note that the data presented in this study were originally collected by Mackay et al (2012).",197,Female,Morgante et al (2015) Scientific Reports
Starvation resistance variance (M),"Mean variance (the log of the within line standard deviation; ln(σE)) in the hours flies survived in culture vials containing non-nutritive medium. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable starvation resistance response, and therefore greater micro-environmental plasticity. Note that the data presented in this study were originally collected by Mackay et al (2012).",197,Male,Morgante et al (2015) Scientific Reports
Starvation resistance yeast poor diet (F),"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared on food with 0.5% yeast content (dietary restricted).  Higher values indicate flies that exhibited greater starvation resistance.",171,Female,Nelson et al (2016) BMC Genomics
Starvation resistance yeast rich diet (F),"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared on food with 5% yeast content (ab libitum diet).  Higher values indicate flies that exhibited greater starvation resistance.",171,Female,Nelson et al (2016) BMC Genomics
Starvation resistance young (F),"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 7-days old. Higher values indicate flies that exhibited greater starvation resistance.",159,Female,Everman and Morgan (2017) Evolution
Starvation resistance young (M),"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 7-days old.  Higher values indicate flies that exhibited greater starvation resistance.",159,Male,Everman and Morgan (2017) Evolution
Tergite5 (F),Mean pigmentation scores for tergite 5. Higher values indicate higher percentages of brown/black melanin on the tergite.,175,Female,Dembeck et al (2015) PLOS Genetics
Tergite6 (F),Mean pigmentation scores for tergite 6. Higher values indicate higher percentages of brown/black melanin on the tergite.,175,Female,Dembeck et al (2015) PLOS Genetics
Thorax length 18C (F),Mean adult thorax length when reared at 18C. Higher values indicate larger flies.,194,Female,"Lafuente, Duneau and Beldade (2018) PLOS Genetics"
Thorax length 28C (F),Mean adult thorax length when reared at 28C. Higher values indicate larger flies.,196,Female,"Lafuente, Duneau and Beldade (2018) PLOS Genetics"
Thorax length thermal plasticity (F),"Flies were reared at 18C and 28C, after which adult thorax lengths were measured. Reaction norms for each DGRP line were calculated using the linear model lm (Size ~ Temperature). The absolute value of the slope is a measurement of thermal sensitivity, describing the magnitude of the plastic response to temperature. Higher values indicate greater thermal plasticity.",191,Female,"Lafuente, Duneau and Beldade (2018) PLOS Genetics"
Triglyceride  (M),Estimated mass of total trigylcerides per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,145,Male,"Unckless, Rottschaefer and Lazzaro (2015) G3"
Triglyceride high glucose diet (M),Mean triglycerides (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of triglycerides.,147,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Triglyceride low glucose diet (M),Mean triglycerides (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of triglycerides.,150,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Triglyceride medium glucose diet (M),Mean triglycerides (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of triglycerides.,152,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Triglyceride poor diet (F),Mean quantity of triglyceride extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher triglyceride levels.,172,Female,Nelson et al (2016) BMC Genomics
Triglyceride yeast rich diet (F),Mean quantity of triglyceride extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher triglyceride levels.,172,Female,Nelson et al (2016) BMC Genomics
Tunicamycin ER stress (M),"The hazard ratio of the death rate of male flies exposed to tunicamycin - an endoplasmic reticulum (ER) stress inducing drug – with the control group, fed drug free media. Higher values indicate greater ER stress and lower survival of flies exposed to tunicamycin.",111,Male,"Chow, Wolfner and Clark (2013) PNAS"
Tunicamycin LT50 (M),Mean time required for 50% of male flies exposed to tunicamycin (TM) media to die. TM is an antibiotic that causes endoplasmic reticulum (ER) stress. Higher values indicate longer survival times and greater resistance to ER stress.,112,Male,"Chow, Wolfner and Clark (2013) PNAS"
Virgin egg retention (F),"Mean unfertilised egg retention time, measured as the number of days before a virgin female laid her first egg. Higher values indicate a longer retention time.",90,Female,Akhund-Zade et al (2017) Journal of Insect Science
Waking activity (F),"Mean number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Higher values indicate more active lines.",168,Female,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Waking activity (M),"Mean number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Higher values indicate more active lines.",168,Male,"Harbison, McCoy and Mackay (2013) BMC Genomics"
Waking activity SD (F),"Standard deviation for the number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more variable within-individual activity. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Female,Wu et al (2018) SLEEPJ
Waking activity SD (M),"Standard deviation for the number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more variable within-individual activity. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Male,Wu et al (2018) SLEEPJ
Week1 fecundity 25C (F),"Mean fecundity in the first week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity.",189,Female,Durham et al (2014) Nature Communications
Week3 fecundity 25C (F),"Mean fecundity in the third week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity.",189,Female,Durham et al (2014) Nature Communications
Week5 fecundity 25C (F),"Mean fecundity in the fifth week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.",178,Female,Durham et al (2014) Nature Communications
Week7 fecundity 25C (F),"Mean fecundity in the seventh week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.",135,Female,Durham et al (2014) Nature Communications
Weight high glucose diet (M),Mean weight (mg) of live flies that were reared on a diet containing 10% glucose. Higher values indicate heavier flies.,147,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Weight low glucose diet (M),Mean weight (mg) of live flies that were reared on a diet containing 2.5% glucose. Higher values indicate heavier flies.,150,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Weight medium glucose diet (M),Mean weight (mg) of live flies that were reared on a diet containing 5% glucose. Higher values indicate heavier flies.,152,Male,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Wet weight (M),Mean mass. Higher values indicate heavier flies.,145,Male,"Unckless, Rottschaefer and Lazzaro (2015) G3"
Wing centroid size (F),"Mean wing centroid size. Higher values indicate lines with larger wings, which can be used as a proxy for body size.",149,Female,Vonesch et al (2016) PLOS Genetics
Wing centroid size (M),"Mean wing centroid size. Higher values indicate lines with larger wings, which can be used as a proxy for body size.",149,Male,Vonesch et al (2016) PLOS Genetics
T1 leg length (F),Mean leg length for legs originating on the first thoracic segment. Higher values indicate longer legs,117,Female,Grubbs et al (2013) PLOS One
T1 leg length (M),Mean leg length for legs originating on the first thoracic segment. Higher values indicate longer legs,117,Male,Grubbs et al (2013) PLOS One
T2 leg length (F),Mean leg length for legs originating on the second thoracic segment. Higher values indicate longer legs,117,Female,Grubbs et al (2013) PLOS One
T2 leg length (M),Mean leg length for legs originating on the second thoracic segment. Higher values indicate longer legs,117,Male,Grubbs et al (2013) PLOS One
T1 femur (F),"Mean femur length, for legs originating on the first thoracic segment. Higher values indicate longer femurs",117,Female,Grubbs et al (2013) PLOS One
T1 femur (M),"Mean femur length, for legs originating on the first thoracic segment. Higher values indicate longer femurs",117,Male,Grubbs et al (2013) PLOS One
T2 femur (F),"Mean femur length, for legs originating on the second thoracic segment. Higher values indicate longer femurs",117,Female,Grubbs et al (2013) PLOS One
T2 femur (M),"Mean femur length, for legs originating on the second thoracic segment. Higher values indicate longer femurs",117,Male,Grubbs et al (2013) PLOS One
T1 tibia (F),"Mean tibia length, for legs originating on the first thoracic segment. Higher values indicate longer tibias",117,Female,Grubbs et al (2013) PLOS One
T1 tibia (M),"Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias",117,Male,Grubbs et al (2013) PLOS One
T2 tibia (F),"Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias",117,Female,Grubbs et al (2013) PLOS One
T2 tibia (M),"Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias",117,Male,Grubbs et al (2013) PLOS One
T1 tarsus (F),"Mean tarsus length, for legs originating on the first thoracic segment. Higher values indicate longer tarsus'.",117,Female,Grubbs et al (2013) PLOS One
T1 tarsus (M),"Mean tarsus length, for legs originating on the first thoracic segment. Higher values indicate longer tarsus'.",117,Male,Grubbs et al (2013) PLOS One
T2 tarsus (F),"Mean tarsus length, for legs originating on the second thoracic segment. Higher values indicate longer tarsus'.",117,Female,Grubbs et al (2013) PLOS One
T2 tarsus (M),"Mean tarsus length, for legs originating on the second thoracic segment. Higher values indicate longer tarsus'.",117,Male,Grubbs et al (2013) PLOS One
Weight anexic (M),Mean combined dry weight of 5 adult flies that lacked a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate heavier flies.,94,Male,Dobson et al (2015) Nature Communications
Weight gnotobiotic (M),"Mean combined dry weight of 5 adult flies that possessed a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate heavier flies.",96,Male,Dobson et al (2015) Nature Communications
Weight microbiome effect (M),"Mean change in the combined dry weight of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota had a greater positive effect on weight. Note that the presence of micriobiota on average increased dry weight.",82,Male,Dobson et al (2015) Nature Communications
Glucose anexic (M),"Mean combined glucose content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher glucose content.",103,Male,Dobson et al (2015) Nature Communications
Glucose gnotobiotic (M),"Mean combined glucose content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher glucose content.",117,Male,Dobson et al (2015) Nature Communications
Glucose microbiome effect (M),"Mean change in the combined glucose content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher glucose content. Note though that the presence of micriobiota on average decreased glucose content.",99,Male,Dobson et al (2015) Nature Communications
Protein anexic (M),"Mean combined protein content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher protein content.",87,Male,Dobson et al (2015) Nature Communications
Protein gnotobiotic (M),"Mean combined protein content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher protein content.",90,Male,Dobson et al (2015) Nature Communications
