Trait,Female_Evid_Ratio,Male_Evid_Ratio,Overall_Evid_Ratio,Diff_Evid_Ratio,Concord_Evid_Ratio,Female_notable,Male_notable,Overall_notable,Diff_notable,Concord_notable,Trait_nice,Life_stage,Trait guild,study_ID,Reference,Trait description,Trait_Sex,position
olfactory.response.citral.f,0.22464600076540375,0.454677697972543,0.18950263920898075,0.6253555465258025,1.6224099476204343,No,No,No,No,No,Olfactory response citral (F),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Citral solution. Higher values indicate avoidance of Citral, lower values indicate attraction.",Traits measured in females,378
olfactory.response.citral.m,0.7783705679671001,1.2081148219707425,0.9300361881785284,0.7217260303454213,0.9767809166759353,No,No,No,No,No,Olfactory response citral (M),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Citral solution. Higher values indicate avoidance of Citral, lower values indicate attraction.",Traits measured in males,379
olfactory.response.D-carvone.f,1.9734250139379297,0.07570256823988167,0.30644239405568713,9.471204188481675,0.5609183887722359,No,No,No,No,No,Olfactory response D-carvone (F),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in d-Carvone solution. Higher values indicate avoidance of d-Carvone, lower values indicate attraction.",Traits measured in females,380
olfactory.response.D-carvone.m,0.2111119521610779,0.03533065872913162,0.027551217005972642,2.6223681231605163,4.0880054009177345,No,No,No,No,No,Olfactory response D-carvone (M),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in d-Carvone solution. Higher values indicate avoidance of d-Carvone, lower values indicate attraction.",Traits measured in males,381
olfactory.response.ethanol.f,0.4771048744460857,0.3810962451445835,0.3052700277369881,1.1211719475009942,1.3770931419377173,No,No,No,No,No,Olfactory response ethanol (F),Adult,Sensory,16,Chohan (2012) PhD thesis,"Flies were given a choice between a tube containing ethanol and a tube containing water. Higher values indicate an attraction to ethanol, while lower values indicate an aversion to ethanol.",Traits measured in females,382
olfactory.response.ethanol.m,0.1169284467713787,1.9811812930873858,0.37990513152220784,0.13499326097751294,0.5870314731278687,No,No,No,No,No,Olfactory response ethanol (M),Adult,Sensory,16,Chohan (2012) PhD thesis,"Flies were given a choice between a tube containing ethanol and a tube containing water. Higher values indicate an attraction to ethanol, while lower values indicate an aversion to ethanol.",Traits measured in males,383
olfactory.response.ethylacetate.f,0.39786825091735106,0.050834099566530934,0.060304837640821736,3.455583402951824,2.2737239356586394,No,No,No,No,No,Olfactory response ethylacetate (F),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Ethylacetate solution. Higher values indicate avoidance of Ethylacetate, lower values indicate attraction.",Traits measured in females,384
olfactory.response.ethylacetate.m,0.05974301231951252,0.010292353349750583,0.002820432466311501,2.397027600849257,14.287280242360728,No,Yes,Yes,No,No,Olfactory response ethylacetate (M),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Ethylacetate solution. Higher values indicate avoidance of Ethylacetate, lower values indicate attraction.",Traits measured in males,385
olfactory.response.ethylbutyrate.f,1.0879551089651573,1.6626726576801465,1.549800796812749,0.7385635118982941,1.0211898703711457,No,No,No,No,No,Olfactory response ethylbutyrate (F),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Ethyl butyrate solution. Higher values indicate avoidance of Ethyl butyrate, lower values indicate attraction.",Traits measured in females,386
olfactory.response.ethylbutyrate.m,2.117085525034093,5.541291905151267,6.00218818380744,0.5229392727964972,1.6624133504055048,No,No,No,No,No,Olfactory response ethylbutyrate (M),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Ethyl butyrate solution. Higher values indicate avoidance of Ethyl butyrate, lower values indicate attraction.",Traits measured in males,387
olfactory.response.eugenol.f,2.0563514804202483,2.425390708627703,3.223864836325238,0.9077143197806129,1.3359661314110522,No,No,No,No,No,Olfactory response eugenol (F),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Eugenol solution. Higher values indicate avoidance of Eugenol, lower values indicate attraction.",Traits measured in females,388
olfactory.response.eugenol.m,1.323217656454189,0.4320236283898684,0.6687526074259491,2.2212603180994566,0.8954103955175085,No,No,No,No,No,Olfactory response eugenol (M),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Eugenol solution. Higher values indicate avoidance of Eugenol, lower values indicate attraction.",Traits measured in males,389
olfactory.response.heliol.f,3.23841059602649,0.15356885364095169,0.6547729858310063,9.443864229765014,0.4414292672077658,No,No,No,No,No,Olfactory response heliol (F),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Heliol solution. Higher values indicate avoidance of Heliol, lower values indicate attraction.",Traits measured in females,390
olfactory.response.heliol.m,7.311688311688312,0.4511155450752766,2.2141422257934913,7.629989212513484,0.5537195499796986,No,No,No,No,No,Olfactory response heliol (M),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Heliol solution. Higher values indicate avoidance of Heliol, lower values indicate attraction.",Traits measured in males,391
olfactory.response.hexal.f,0.546341934860346,0.9099916437865584,0.6077170418006431,0.6929425457623531,1.0280382306120617,No,No,No,No,No,Olfactory response hexal (F),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Hexal solution. Higher values indicate avoidance of Hexal, lower values indicate attraction.",Traits measured in females,392
olfactory.response.hexal.m,1.7345752862758503,0.9960079840319361,1.477163647623471,1.5046963055729492,0.9989260769651503,No,No,No,No,No,Olfactory response hexal (M),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Hexal solution. Higher values indicate avoidance of Hexal, lower values indicate attraction.",Traits measured in males,393
olfactory.response.L-carvone.f,0.6515276630883567,0.15816141874773795,0.20836794804017825,2.6019810895992794,1.3623087729503833,No,No,No,No,No,Olfactory response L-carvone (F),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in l-Carvone solution. Higher values indicate avoidance of l-Carvone, lower values indicate attraction.",Traits measured in females,394
olfactory.response.L-carvone.m,0.5114301908180616,0.36775517182424344,0.3053765195398548,1.199010445299615,1.3513431276082,No,No,No,No,No,Olfactory response L-carvone (M),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in l-Carvone solution. Higher values indicate avoidance of l-Carvone, lower values indicate attraction.",Traits measured in males,395
olfactory.response.methylSalicylate.f,0.39896826090758064,0.1913626209977662,0.15824525843347328,1.6033192320208265,1.8232954519136537,No,No,No,No,No,Olfactory response methylSalicylate (F),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Methyl salicylate solution. Higher values indicate avoidance of Methyl salicylate, lower values indicate attraction.",Traits measured in females,396
olfactory.response.methylSalicylate.m,3.5662100456621006,0.3080444735120994,1.077652252954162,5.878761822871883,0.5416658315976747,No,No,No,No,No,Olfactory response methylSalicylate (M),Adult,Sensory,7,Arya et al (2015) Chemical Senses,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Methyl salicylate solution. Higher values indicate avoidance of Methyl salicylate, lower values indicate attraction.",Traits measured in males,397
anoxia.tolerance.adult.f,0.2822567719185767,1.2818026240730176,0.49588631264023936,0.34194414157510694,0.870681429616839,No,No,No,No,No,Anoxia tolerance adult (F),Adult,Stress response,13,Campwell et al (2019) G3,"Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.",Traits measured in females,398
anoxia.tolerance.adult.m,0.8726591760299626,3.446914952751529,2.1752331811867434,0.3717421124828532,0.9278650725793003,No,No,No,No,No,Anoxia tolerance adult (M),Adult,Stress response,13,Campwell et al (2019) G3,"Mean survival for adult flies, 24 hours after exposure to 6 hours of anoxia (a vial perfused with 80% nitrogen). Higher values indicate a greater a greater tolerance of anoxia.",Traits measured in males,399
climbing.ability.paraquat.f,2.5133948177426437,45.647230320699705,27.67383512544803,0.19065337103735674,2.4029902394264178,No,Yes,No,No,No,Climbing ability paraquat (F),Adult,Stress response,65,Lovejoy et al (2021) Molecular Ecology,"Mean centimetres climbed in three seconds following vial inversion, after 24 hours of exposure to paraquat (200 uM in 1% sucrose solution). Paraquat is a herbicide that causes oxidative stress in D. melanogaster. Higher values indicate greater climbing ability.",Traits measured in females,400
climbing.ability.paraquat.m,1.5380710659898478,64.57377049180327,20.5633423180593,0.10611821638437607,1.5174142128171624,No,Yes,No,No,No,Climbing ability paraquat (M),Adult,Stress response,65,Lovejoy et al (2021) Molecular Ecology,"Mean centimetres climbed in three seconds following vial inversion, after 24 hours of exposure to paraquat (200 uM in 1% sucrose solution). Paraquat is a herbicide that causes oxidative stress in D. melanogaster. Higher values indicate greater climbing ability.",Traits measured in males,401
dessication.tolerance.f,24.6,6.854688267059401,57.8235294117647,2.2180209171359615,5.392688362685177,No,No,Yes,No,No,Dessication tolerance (F),Adult,Stress response,86,Rajpurohit et al (2018) Molecular Ecology,Mean number of hours survived in a vial with very low relative humidity (~3%). Higher values indicate greater dessication tolerance.,Traits measured in females,402
dessication.tolerance.m,0.9256228186304007,8.852216748768473,3.9953168904152356,0.21543603767851716,0.9402704712783584,No,No,No,No,No,Dessication tolerance (M),Adult,Stress response,86,Rajpurohit et al (2018) Molecular Ecology,Mean number of hours survived in a vial with very low relative humidity (~3%). Higher values indicate greater dessication tolerance.,Traits measured in males,403
hydrogen.peroxide.resistance.f,16.00318809776833,0.628498727735369,4.230467473030402,9.230179028132993,0.6648744336744268,No,No,No,No,No,Hydrogen peroxide resistance (F),Adult,Stress response,45,Harrison et al (2020) BMC Genomics,Lifespan on a diet supplemented with 2-3% hydrogen peroxide (H2O2). Data are corrected for line body mass. Higher values indicate greater resistance to hydrogen peroxide.,Traits measured in females,404
lead.effect.development.time.f,1.3970037453183521,1.672010688042752,1.7826086956521738,0.8741946819725899,1.0869304351086913,No,No,No,No,No,Lead effect development time (F),Juvenile,Stress response,118,Zhou et al (2016) Environmental Health Perspectives,Mean difference in egg-to-adult development time between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time when supplemented with lead.,Traits measured in females,405
lead.effect.development.time.m,1.0163831127914305,1.9850746268656716,1.6216614779616583,0.6189416169179399,1.0053769168583264,No,No,No,No,No,Lead effect development time (M),Juvenile,Stress response,118,Zhou et al (2016) Environmental Health Perspectives,Mean difference in egg-to-adult development time between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time when supplemented with lead.,Traits measured in males,406
lead.effect.locomotor.activity.f,0.07984072349328473,0.7474879860200961,0.1426939008713041,0.22774708410067526,1.2808451700288108,No,No,No,No,No,Lead effect locomotor activity (F),Adult,Stress response,118,Zhou et al (2016) Environmental Health Perspectives,Mean difference in locomotor between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a larger negative effect of lead on activity.,Traits measured in females,407
lead.effect.locomotor.activity.m,17.890200708382526,0.18037624492807083,1.9750836742283377,33.18803418803419,0.23391434793193788,No,No,No,No,No,Lead effect locomotor activity (M),Adult,Stress response,118,Zhou et al (2016) Environmental Health Perspectives,Mean difference in locomotor between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a larger negative effect of lead on activity.,Traits measured in males,408
negative.geotaxis.sensitivity.msb.f,0.40326258551131383,0.36553725356319877,0.24795257780204352,1.0481310803891448,1.4924658404635704,No,No,No,No,No,Negative geotaxis sensitivity msb (F),Adult,Stress response,58,Jordan et al (2012) PLOS One,"Mean difference in negative geotaxis between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. Calculated as the difference between control and MSB conditions, divided by the population mean difference between control and MSB conditions. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.",Traits measured in females,409
negative.geotaxis.sensitivity.msb.m,0.3709193728043869,0.062064387653501495,0.06545914630085903,3.0660736975857685,2.3627234487040836,No,No,No,No,No,Negative geotaxis sensitivity msb (M),Adult,Stress response,58,Jordan et al (2012) PLOS One,"Mean difference in negative geotaxis between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. Calculated as the difference between control and MSB conditions, divided by the population mean difference between control and MSB conditions. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.",Traits measured in males,410
radiation.resistance.m,0.9249278152069298,2.252032520325203,1.6507620941020544,0.5293442936341044,0.9704142303315715,No,No,No,No,No,Radiation resistance (M),Adult,Stress response,106,Vaisnav et al (2014) PLOS One,"Mean survival 24 hours after exposure to radiation (Cs137, avg dose of 4.85 Gy/min. Total dose of 1382 Gy over the 4 hours and 45 minutes of continuous exposure). Higher values indicate greater radiation resistance.",Traits measured in males,411
starvation.resistance.2012.f,0.5706292333366054,0.5690889477297244,0.44079243583971184,1.0052638175209927,1.1623389114525762,No,No,No,No,No,Starvation resistance  (F),Adult,Stress response,67,Mackay et al (2012) Nature,Mean hours survived in culture vials containing non-nutritive medium. Higher values indicate greater starvation resistance.,Traits measured in females,412
starvation.resistance.2012.m,3.783258594917788,0.3893713094824592,1.2775800711743772,5.139677666922487,0.5926939148391542,No,No,No,No,No,Starvation resistance  (M),Adult,Stress response,67,Mackay et al (2012) Nature,Mean hours survived in culture vials containing non-nutritive medium. Higher values indicate greater starvation resistance.,Traits measured in males,413
starvation.resistance.2017.m,1.3008340523439748,0.5535488882415769,0.7835246906699365,1.7903732124171607,0.9275728361255582,No,No,No,No,No,Starvation resistance  (M),Adult,Stress response,63,Lee et al (2017) Genome Biology and Evolution,Adult mean survival in the absence of food after two days is here used as a measure of starvation resistance. Higher values indicate greater survival and therefore higher starvation resistance.,Traits measured in males,414
starvation.resistance.2019.f,0.18229513042193157,1.1476510067114094,0.3357822674903991,0.2744941851202804,0.9092181677024425,No,No,No,No,No,Starvation resistance  (F),Adult,Stress response,33,Everman et al (2019) Genetics,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. Higher values indicate flies that exhibited greater starvation resistance.",Traits measured in females,415
starvation.resistance.2019.m,0.2563800549666274,0.8583042973286876,0.33790450706580816,0.42424781912052695,1.094526984625681,No,No,No,No,No,Starvation resistance  (M),Adult,Stress response,33,Everman et al (2019) Genetics,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. Higher values indicate flies that exhibited greater starvation resistance.",Traits measured in males,416
starvation.resistance.high.carb.diet.m,4.121638924455826,3.287245444801715,6.718282682103232,1.1789459349039901,1.9637016930516389,No,No,No,No,No,Starvation resistance high carb diet (M),Adult,Stress response,34,Francis et al (2021) G3,"Survival time in hours for adult flies that were first flies maintained on a high carbohydrate diet (carbs:494.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",Traits measured in males,417
starvation.resistance.high.fat.diet.m,20.534320323014803,1.7040730099712693,12.190436933223413,4.9457450761798585,1.6184613924949047,No,No,No,No,No,Starvation resistance high fat diet (M),Adult,Stress response,34,Francis et al (2021) G3,"Survival time in hours for adult flies that were first flies maintained on a high fat diet (carbs:44.15g/L, protein:52g/L, fat:17.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",Traits measured in males,418
starvation.resistance.high.protein.diet.m,43.07713498622589,3.952027236149799,42.1266846361186,3.9968769519050595,3.6411877785777786,Yes,No,Yes,No,No,Starvation resistance high protein diet (M),Adult,Stress response,34,Francis et al (2021) G3,"Survival time in hours for adult flies that were first flies maintained on a high protein diet (carbs:44.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",Traits measured in males,419
starvation.resistance.old.f,0.7626969262972347,1.1169621593014025,0.8885741265344664,0.7663943475380879,0.9852337691862375,No,No,No,No,No,Starvation resistance old (F),Adult,Stress response,32,Everman and Morgan (2017) Evolution,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 28-days old. Higher values indicate flies that exhibited greater starvation resistance.",Traits measured in females,420
starvation.resistance.old.m,4.7224606580829755,1.0917767028369723,3.0080160320641283,2.733084461035931,1.058758379548706,No,No,No,No,No,Starvation resistance old (M),Adult,Stress response,32,Everman and Morgan (2017) Evolution,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 28-days old. Higher values indicate flies that exhibited greater starvation resistance.",Traits measured in males,421
starvation.resistance.standard.diet.m,6.707129094412331,0.3125512715340443,1.6058631921824105,9.437051532941943,0.44109155479818196,No,No,No,No,No,Starvation resistance standard diet (M),Adult,Stress response,34,Francis et al (2021) G3,"Survival time in hours for adult flies that were first flies maintained on the laboratories standard diet (carbs:119.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",Traits measured in males,422
starvation.resistance.variance.f,0.02282170939078182,1.3848561633626473,0.11304347826086956,0.060445387062566275,0.7328415150054665,Yes,No,No,No,No,Starvation resistance variance (F),Adult,Stress response,74,Morgante et al (2015) Scientific Reports,"Mean variance (the log of the within line standard deviation; ln(σE)) in the hours flies survived in culture vials containing non-nutritive medium. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable starvation resistance response, and therefore greater micro-environmental plasticity. Note that the data presented in this study were originally collected by Mackay et al (2012).",Traits measured in females,423
starvation.resistance.variance.m,2.8948393378773125,0.5476881408396208,1.355019134530468,3.2160737812911724,0.7510380646126479,No,No,No,No,No,Starvation resistance variance (M),Adult,Stress response,74,Morgante et al (2015) Scientific Reports,"Mean variance (the log of the within line standard deviation; ln(σE)) in the hours flies survived in culture vials containing non-nutritive medium. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable starvation resistance response, and therefore greater micro-environmental plasticity. Note that the data presented in this study were originally collected by Mackay et al (2012).",Traits measured in males,424
starvation.resistance.yeast.poor.diet.f,1.292920607623961,1.0895912237168603,1.3164905168669465,1.1528525296017222,1.0110148941733261,No,No,No,No,No,Starvation resistance yeast poor diet (F),Adult,Stress response,80,Nelson et al (2016) BMC Genomics,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared on food with 0.5% yeast content (dietary restricted).  Higher values indicate flies that exhibited greater starvation resistance.",Traits measured in females,425
starvation.resistance.yeast.rich.diet.f,0.33255600899475307,0.3818119008549961,0.2236157846436219,0.9077143197806129,1.5775818403881985,No,No,No,No,No,Starvation resistance yeast rich diet (F),Adult,Stress response,80,Nelson et al (2016) BMC Genomics,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared on food with 5% yeast content (ab libitum diet).  Higher values indicate flies that exhibited greater starvation resistance.",Traits measured in females,426
starvation.resistance.young.f,0.7578554163920017,1.2206800832755031,0.9576654839104368,0.7317891546704188,0.9729918988644352,No,No,No,No,No,Starvation resistance young (F),Adult,Stress response,32,Everman and Morgan (2017) Evolution,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 7-days old. Higher values indicate flies that exhibited greater starvation resistance.",Traits measured in females,427
starvation.resistance.young.m,1.2975301550832854,1.7289783387344364,1.767208578346593,0.813647698934482,1.0716644405984856,No,No,No,No,No,Starvation resistance young (M),Adult,Stress response,32,Everman and Morgan (2017) Evolution,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 7-days old.  Higher values indicate flies that exhibited greater starvation resistance.",Traits measured in males,428
acclimated.acute.cold.exposure.resistance.18C.f,1.2563813284445071,4.039370078740157,2.952569169960474,0.45759314931219824,1.1471439420975666,No,No,No,No,No,Acclimated acute cold exposure resistance 18C (F),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Traits measured in females,429
acclimated.acute.cold.exposure.resistance.18C.m,1.3623209803632068,0.07940362949470417,0.24233247922975387,6.944389275074479,0.7686441798942713,No,No,No,No,No,Acclimated acute cold exposure resistance 18C (M),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Traits measured in males,430
acclimated.acute.cold.exposure.resistance.25C.f,2.7192003719200373,2.9350713231677323,4.423728813559322,0.9753086419753086,1.5883649597828746,No,No,No,No,No,Acclimated acute cold exposure resistance 25C (F),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Traits measured in females,431
acclimated.acute.cold.exposure.resistance.25C.m,2.1508467900748327,45.9208211143695,25.143790849673202,0.16703136396790663,2.0754147929661997,No,Yes,No,No,No,Acclimated acute cold exposure resistance 25C (M),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Traits measured in males,432
acute.cold.exposure.resistance.18C.-6.f,4.161290322580645,4.4888507718696395,8.57510472770796,1.0065211938801104,2.2750393388514336,No,No,No,No,No,Acute cold exposure resistance 18C -6 (F),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Traits measured in females,433
acute.cold.exposure.resistance.18C.-6.m,0.18976799524092802,0.2263355560665287,0.09694227341286164,0.8537828756806859,2.5064704241273223,No,No,No,No,No,Acute cold exposure resistance 18C -6 (M),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Traits measured in males,434
acute.cold.exposure.resistance.18C.-8.f,0.5953734170904378,1.6827632461435278,0.9714144898965007,0.47765053564831916,0.8787324028089163,No,No,No,No,No,Acute cold exposure resistance 18C -8 (F),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Traits measured in females,435
acute.cold.exposure.resistance.18C.-8.m,0.8329705579104135,1.391629297458894,1.0967107849561002,0.6877637130801688,0.9705953307051546,No,No,No,No,No,Acute cold exposure resistance 18C -8 (M),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Traits measured in males,436
acute.cold.exposure.resistance.25C.f,1.8479886080455679,2.0092157231521535,2.5382574082264484,0.948605529168189,1.2218714288407313,No,No,No,No,No,Acute cold exposure resistance 25C (F),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.",Traits measured in females,437
acute.cold.exposure.resistance.25C.m,1.6084121291164004,9.152284263959391,6.557864903164856,0.3109381401065137,1.4609319364673503,No,No,No,No,No,Acute cold exposure resistance 25C (M),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.",Traits measured in males,438
chill.coma.recovery.f,0.1942080907598149,0.09014103699666144,0.05277010132912225,1.5015634771732334,3.5783690518848674,No,No,No,No,No,Chill coma recovery (F),Adult,Temperature related,67,Mackay et al (2012) Nature,"Mean time required for a fly to stand upon being returned to room temperature, after three hours of ice exposure. Higher values indicate a slower recovery from chill coma.",Traits measured in females,439
chill.coma.recovery.m,0.3342228152101401,0.11482720178372352,0.08976978613267947,1.9438822447102115,2.312387999880755,No,No,No,No,No,Chill coma recovery (M),Adult,Temperature related,67,Mackay et al (2012) Nature,"Mean time required for a fly to stand upon being returned to room temperature, after three hours of ice exposure. Higher values indicate a slower recovery from chill coma.",Traits measured in males,440
chill.coma.recovery.variance.f,0.2873119317724676,0.3890094626269641,0.2057272042200452,0.8177686889343331,1.643844286742346,No,No,No,No,No,Chill coma recovery variance (F),Adult,Temperature related,74,Morgante et al (2015) Scientific Reports,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time required for a fly to stand upon being returned to room temperature, after three hours of ice exposure.. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable chill coma response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).",Traits measured in females,441
chill.coma.recovery.variance.m,0.4883720930232558,0.10826348964466302,0.12572996552451982,2.6730945821854912,1.7646833303634586,No,No,No,No,No,Chill coma recovery variance (M),Adult,Temperature related,74,Morgante et al (2015) Scientific Reports,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time required for a fly to stand upon being returned to room temperature, after three hours of ice exposure.. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable chill coma response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).",Traits measured in males,442
chronic.cold.exposure.resistance.f,2.983071944236993,1.6626726576801465,3.086845466155811,1.5526483726866624,1.282866939158939,No,No,No,No,No,Chronic cold exposure resistance (F),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean proportion of adult flies surviving 16 hours of exposure to 0°C, after 24 hours of recovery at 25°C. Higher values indicate greater resistance to chronic cold exposure.",Traits measured in females,443
chronic.cold.exposure.resistance.m,1.069589962488682,9.178117048346056,4.757466714645556,0.22963418383031048,1.0555358245528232,No,No,No,No,No,Chronic cold exposure resistance (M),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean proportion of adult flies surviving 16 hours of exposure to 0°C, after 24 hours of recovery at 25°C. Higher values indicate greater resistance to chronic cold exposure.",Traits measured in males,444
cold.hardiness.f,0.4262791941522553,1.2876751501286818,0.6619923132855511,0.45626649676890874,0.903705008534845,No,No,No,No,No,Cold hardiness (F),Adult,Temperature related,35,Freda et al (2017) Integrative and Comparative Biology,Mean proportion of surviving adults 24 hours post exposure to an hour of cold shock (-5°C). Higher values indicate flies that are more resistant to cold shock.,Traits measured in females,445
cold.hardiness.m,0.2338062924120913,0.5226494099733536,0.22737035900583,0.6,1.4834956194241644,No,No,No,No,No,Cold hardiness (M),Adult,Temperature related,35,Freda et al (2017) Integrative and Comparative Biology,Mean proportion of surviving adults 24 hours post exposure to an hour of cold shock (-5°C). Higher values indicate flies that are more resistant to cold shock.,Traits measured in males,446
