Trait,Trait guild,Trait description,Reference,Life_stage
permethrin.knockdown.m,Insecticide response,"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3,Adult
permethrin.mortality.24hr.f,Insecticide response,"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3,Adult
permethrin.mortality.24hr.m,Insecticide response,"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3,Adult
phenylalanine.high.yeast.f,Metabolome,Mean relative phenylalanine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
phenylalanine.low.yeast.f,Metabolome,Mean relative phenylalanine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
phenylalanine.pref.post.limitation.f,Sensory,Mean change in phenylalanine diluted food medium preference after deprivation of amino acids compared with flies that had experienced no deprivation of amino acids. Positive values indicate a stronger change in preference towards the phenylalanine supplemented medium after deprivation.,Toshima et al (2014) Journal of Insect Physiology,Adult
phenylalanine.pref.post.limitation.m,Sensory,Mean change in phenylalanine diluted food medium preference after deprivation of amino acids compared with flies that had experienced no deprivation of amino acids. Positive values indicate a stronger change in preference towards the phenylalanine supplemented medium after deprivation.,Toshima et al (2014) Journal of Insect Physiology,Adult
phototaxis.dark.f,Activity,"Mean phototaxis score measured in 7 day old adults, without a light source. This measure was taken to approximate the effect of fly activity on the phototaxis response. Higher values indicate more active flies.",Carbone et al (2017) PNAS,Adult
phototaxis.dark.m,Activity,"Mean phototaxis score measured in 7 day old adults, without a light source. This measure was taken to approximate the effect of fly activity on the phototaxis response. Higher values indicate more active flies.",Carbone et al (2017) PNAS,Adult
phototaxis.mid.age.f,Activity,Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS,Adult
phototaxis.mid.age.m,Activity,Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS,Adult
phototaxis.old.f,Activity,Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS,Adult
phototaxis.old.m,Activity,Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS,Adult
phototaxis.young.f,Activity,Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS,Adult
phototaxis.young.m,Activity,Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS,Adult
pipecolate.high.yeast.f,Metabolome,Mean relative pipecolate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
pipecolate.low.yeast.f,Metabolome,Mean relative pipecolate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
pop.growth.rate.16C,Life history,"Lambda. Population growth rate or intrinsic rate of increase. Defined as e^r, where r = ln(net reproductive rate) / generation time. Higher values indicate faster population growth rates. This trait was measured under fluctuating temperature controlled conditions, with a mean of 16.8C ± 6. Populations consisted of one female and two males from the same DGRP line. Note that this trait should be treated as a characteristic of a population, rather than that of an individual genotype.","Gerken, Eller and Morgan (2014) PhD thesis",Adult
pop.growth.rate.23C,Life history,"Lambda. Population growth rate or intrinsic rate of increase. Defined as e^r, where r = ln(net reproductive rate) / generation time. Higher values indicate faster population growth rates. This trait was measured under fluctuating temperature controlled conditions, with a mean of 23.8C ± 6. Populations consisted of one female and two males from the same DGRP line. Note that this trait should be treated as a characteristic of a population, rather than that of an individual genotype.","Gerken, Eller and Morgan (2014) PhD thesis",Adult
posterior.lobe.shape.PC1.m,Morphological,"Mean PC1 score for posterior lobe shape, calculated from 200 Fourier coefficients. The posterior lobe is a genital structure used to grasp the female oviscape to ensure stable genital coupling. PC1 explains 78% of the variation in shape, and describes the degree of beak-like protrusion at the tip of the posterior lobes. Higher values indicate a greater degree of beak-like postrusion.",Takahara and Takahashi (2015) PLOS One,Adult
posterior.lobe.shape.PC2.m,Morphological,"Mean PC2 score for posterior lobe shape, calculated from 200 Fourier coefficients. The posterior lobe is a genital structure used to grasp the female oviscape to ensure stable genital coupling. PC1 explains 10% of the variation in shape, and describes the width of the posterior lobes. Higher values indicate wider lobes.",Takahara and Takahashi (2015) PLOS One,Adult
posterior.lobe.size.m,Morphological,"Mean posterior lobe size, measured in pixels. The posterior lobe is a genital structure used to grasp the female oviscape to ensure stable genital coupling. Higher values indicate larger posterior lobes.",Takahara and Takahashi (2015) PLOS One,Adult
progeny.production.f,Life history,Mean number of progeny produced in 5 vials over 10 days by twice-mated females.,"Chow, Wolfner and Clark (2013) Genetics",Adult
progeny.sired.by.first.male.f,Life history,"P1 is the proportion of progeny sired by the first male to mate with a twice-mated female. In this study, a DGRP female mated with two standard males. Hence, in this study, the variation in P1 is attributed to the female genotype. Higher values indicate a greater proportion of offspring sired by the male that mated first.","Chow, Wolfner and Clark (2013) Genetics",Adult
proline.high.yeast.f,Metabolome,Mean relative proline concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
proline.low.yeast.f,Metabolome,Mean relative proline concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
protein.2015.m,Metabolome,Estimated mass of soluble protein per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3",Adult
protein.2018.f,Metabolome,Mean quantity of protein per adult fly. Higher values indicate a higher protein content.,Jehrke et al (2018) Scientific Reports,Adult
protein.2018.m,Metabolome,Mean quantity of protein per adult fly. Higher values indicate a higher protein content.,Jehrke et al (2018) Scientific Reports,Adult
protein.2019.f,Metabolome,Mean protein (mg/ul) extracted from 10 virgin flies. Higher values indicate greater levels of protein.,Zhou et al (2020) Genome Research,Adult
protein.2019.m,Metabolome,Mean protein (mg/ul) extracted from 10 virgin flies. Higher values indicate greater levels of protein.,Zhou et al (2020) Genome Research,Adult
protein.abdomen.content.control.exercise.m,Metabolome,"Mean abdomen protein content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",Mendez et al (2016) PLOS One,Adult
protein.abdomen.content.post.exercise.m,Metabolome,"Mean abdomen protein content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",Mendez et al (2016) PLOS One,Adult
protein.high.glucose.diet.m,Metabolome,Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of protein.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Adult
protein.larvae.2018,Metabolome,Mean quantity of protein per third instar larvae. Higher values indicate a higher protein content.,Jehrke et al (2018) Scientific Reports,Juvenile
protein.low.glucose.diet.m,Metabolome,Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of protein.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Adult
protein.medium.glucose.diet.m,Metabolome,Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of protein.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Adult
protein.thorax.content.control.exercise.m,Metabolome,"Mean thorax protein content (log-transformed data is originally reported), measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate flies with a greater glucose content.",Mendez et al (2016) PLOS One,Adult
protein.thorax.content.post.exercise.m,Metabolome,"Mean thorax protein content (log-transformed data is originally reported), following a three-day exercise regime. Higher values indicate flies with a greater glucose content.",Mendez et al (2016) PLOS One,Adult
pupal.case.length,Morphological,"Mean pupal case length in mm. Measurements were taken with image analysis software from at least 6 vials with a minimum of 15 pupa per vial, and were converted from pixels to mm based on the ratio to the diameter measurement of 1 euro cent coin (16.25 mm diameter)",Zhang et al (2021) Current Biology,Juvenile
pupal.mass.20C.f,Morphological,"Average female pupal weight, reared at 20C. Higher vales indicate heavier pupa.",Ellis et al (2014) PLOS Genetics,Juvenile
pupal.mass.25C.f,Morphological,"Average female pupal weight, reared at 25C. Higher vales indicate heavier pupa.",Ellis et al (2014) PLOS Genetics,Juvenile
pupal.mass.30C.f,Morphological,"Average female pupal weight, reared at 30C. Higher vales indicate heavier pupa.",Ellis et al (2014) PLOS Genetics,Juvenile
pupation.height,Life history,"Mean height at which larvae pupated in a 95mm Drosophila vial, after accounting for food height. Higher values indicate higher pupation sites.","Zhang, Reeves and Tautz (2020) Molecular Ecology",Juvenile
putrescine.high.yeast.f,Metabolome,Mean relative putrescine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
putrescine.low.yeast.f,Metabolome,Mean relative putrescine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
pyridoxal-5-P.high.yeast.f,Metabolome,Mean relative pyridoxal-5-P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
pyridoxal-5-P.low.yeast.f,Metabolome,Mean relative pyridoxal-5-P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
pyriprole.resistance,Insecticide response,"Larval to adult survival on food media supplemented with 4PPM Pyripole – an insecticide from the phenylpyrazole family, released for commercial use in 2007. Higher values indicate greater resistance.",Remnant et al (2014) Insect Biochemistry and Molecular Biology,Juvenile
pyruvate.high.yeast.f,Metabolome,Mean relative pyruvate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
pyruvate.low.yeast.f,Metabolome,Mean relative pyruvate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
radiation.resistance.m,Stress response,"Mean survival 24 hours after exposure to radiation (Cs137, avg dose of 4.85 Gy/min. Total dose of 1382 Gy over the 4 hours and 45 minutes of continuous exposure). Higher values indicate greater radiation resistance.",Vaisnav et al (2014) PLOS One,Adult
rapid.cold.hardening.16C,Temperature related,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature before exposing them to a cold temperature, while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared under fluctuating controlled temperatures, with a mean of 16.8C ± 6, prior to phenotyping. Higher values indicate a greater plastic response.","Gerken, Eller and Morgan (2014) PhD thesis",Adult
rapid.cold.hardening.18C.f,Temperature related,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 18C. Higher values indicate a greater plastic response.",Gerken et al (2015) PNAS,Adult
rapid.cold.hardening.18C.m,Temperature related,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 18C. Higher values indicate a greater plastic response.",Gerken et al (2015) PNAS,Adult
rapid.cold.hardening.23C,Temperature related,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature before exposing them to a cold temperature, while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared under fluctuating controlled temperatures, with a mean of 23.8C ± 6, prior to phenotyping. Higher values indicate a greater plastic response.","Gerken, Eller and Morgan (2014) PhD thesis",Adult
rapid.cold.hardening.25C,Temperature related,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature before exposing them to a cold temperature, while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at a constant 25C prior to phenotyping. Higher values indicate a greater plastic response.","Gerken, Eller and Morgan (2014) PhD thesis",Adult
rapid.cold.hardening.25C.f,Temperature related,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C. Higher values indicate a greater plastic response.",Gerken et al (2015) PNAS,Adult
rapid.cold.hardening.25C.m,Temperature related,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C. Higher values indicate a greater plastic response.",Gerken et al (2015) PNAS,Adult
rapid.cold.hardening.old.f,Temperature related,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C and RCH was measured when adults were 28-days old. Higher values indicate a greater plastic response.",Everman and Morgan (2017) Evolution,Adult
rapid.cold.hardening.old.m,Temperature related,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C and RCH was measured when adults were 28-days old. Higher values indicate a greater plastic response.",Everman and Morgan (2017) Evolution,Adult
rapid.cold.hardening.young.f,Temperature related,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C and RCH was measured when adults were 7-days old. Higher values indicate a greater plastic response.",Everman and Morgan (2017) Evolution,Adult
rapid.cold.hardening.young.m,Temperature related,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C and RCH was measured when adults were 7-days old. Higher values indicate a greater plastic response.",Everman and Morgan (2017) Evolution,Adult
reactive.oxygen.species.in.gut.m,Physiological,Mean Reactive oxygen species (ROS) levels in the guts of flies. Higher values indicate greater levels of ROS.,Early et al (2017) PLOS One,Adult
recombination.rate.3R.f,Genomic,Mean percentage of flies that experienced combition on a 20.4 cM region of their 3R chromosome. Higher values indicate a higher rate of recombination.,Hunter et al (2016) PLOS Genetics,Adult
recombination.rate.X.f,Genomic,Mean percentage of flies that experienced combition on a 33 cM region of their X chromosome. Higher values indicate a higher rate of recombination.,Hunter et al (2016) PLOS Genetics,Adult
remating.proportion.f,Behavioural,"Mean proportion of females that remated with a second male (genotype bwD), ~ 1 day after first mating with a male (genotype cn bw).","Chow, Wolfner and Clark (2013) Genetics",Adult
ribose-5-P.high.yeast.f,Metabolome,Mean relative ribose-5-P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
ribose-5-P.low.yeast.f,Metabolome,Mean relative ribose-5-P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
sarcosine.high.yeast.f,Metabolome,Mean relative sarcosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
sarcosine.low.yeast.f,Metabolome,Mean relative sarcosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
Sema5c.olfactory.response.benzaldehyde.f,Sensory,Mean proportion of flies that chose to move away from 1% (v/v) benzaldehyde. Flies were F1 hybrids from DGRP lines crossed to the Sema-5c^BG2386 mutant; this mutation is known to have a large effect on olfactory behvaiour. This phenotype measures how each DGRP genetic backdrop interacts with the Sema-5C mutation. Higher values indicate an aversion to benzaldehyde.,"He et al (2016) Genes, Brain and Behaviour",Adult
serine.high.yeast.f,Metabolome,Mean relative serine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
serine.low.yeast.f,Metabolome,Mean relative serine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
sigma.virus.sensitivity.f,Pathogen response,"Mean proportion of adults infected with sigma virus (DmelSV), 13 days post infection. Sigma virus is a rhabdovirus that naturally occurs in D. melanogaster. It causes flies paralysis in flies exposed to CO2. Higher values indicate a higher (???) proportion of paralysed flies after exposure to CO2, and therefore greater sensitivity to sigma virus.",Magwire et al (2011) PLOS Genetics,Adult
singing.same.sex.m,Behavioural,"Incidence of courtship ‘song’ produced by a DGRP male when interacting with another male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of singing.",Bailey and Hoskins (2014) Evolution,Adult
social.aggression.m,Behavioural,Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in a mixed Sex environment for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,Rohde et al (2017) Genetics,Adult
social.effect.aggression.m,Behavioural,"Mean difference in aggressive behavior between male flies raised in social and socially isolated environments. Higher values indicate that males raised in a social environment were more aggressive than males experiencing isolation (the authors adjusted line means to meet normality expectations, we present udjusted means for the social and isolation line means).",Rohde et al (2017) Genetics,Adult
social.spacing.f,Behavioural,"Mean nearest neighbour distances for a group of 25 flies, after one hour of acclimation in the environment. Higher values indicate greater spacing between individuals.",Hope et al (2019) Frontiers in Genetics,Adult
social.spacing.m,Behavioural,"Mean nearest neighbour distances for a group of 25 flies, after one hour of acclimation in the environment. Higher values indicate greater spacing between individuals.",Hope et al (2019) Frontiers in Genetics,Adult
song.interpulse.interval.m,Behavioural,"Median interpulse interval (IPI) in the male courtship 'song'. Males in many Drosophila species produce a series of auditory pulses (a pulse 'song') when courting females, and the pause between pulses (IPI) varies greatly among species. Higher values indicate a longer IPI.","Turner, Miller and Cochrane (2013) Molecular Biology and Evolution",Adult
sorbitol.high.yeast.f,Metabolome,Mean relative sorbitol concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
sorbitol.low.yeast.f,Metabolome,Mean relative sorbitol concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
sprinter.marathoner.f,Activity,The percent of activity performed in the first quarter of a two hour induced exercise period. The author reasons that this is a measure of the tendency to behave like a sprinter versus a marathoner. Note: this data is recoded from that recorded by Watanabe et al (2020).,Riddle (2020) Journal of Experimental Biology,Adult
sprinter.marathoner.m,Activity,"The percent of activity performed in the first quarter of a two hour induced exercise period. The author reasons that this is a measure of the tendency to behave like a sprinter versus a marathoner. Higher values indicate that a greater proportion of activity was completed in the first 30 minutes, which corresponds to a 'sprinter' phenotype. Note: this data is recoded from that recorded by Watanabe et al (2020).",Riddle (2020) Journal of Experimental Biology,Adult
startle.response.2012.f,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,Jordan et al (2012) PLOS One,Adult
startle.response.2012.m,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,Jordan et al (2012) PLOS One,Adult
startle.response.2012.msb.f,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,Jordan et al (2012) PLOS One,Adult
startle.response.2012.msb.m,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,Jordan et al (2012) PLOS One,Adult
startle.response.2018.f,Activity,"Mean time in seconds that an adult fly, grown on standard food, remained mobile across a 60 second period following mechanical disturbance. Higher values indicate a greater startle response.",Morozova (2018) G3,Adult
startle.response.2018.m,Activity,"Mean time in seconds that an adult fly, grown on standard food, remained mobile across a 60 second period following mechanical disturbance. Higher values indicate a greater startle response.",Morozova (2018) G3,Adult
startle.response.EtOH.f,Activity,"Mean time in seconds that an adult fly, grown on 10% EtOH (ethanol) supplemented food, remained mobile across a 60 second period following mechanical disturbance. Higher values indicate a greater startle response.",Morozova (2018) G3,Adult
startle.response.EtOH.m,Activity,"Mean time in seconds that an adult fly, grown on 10% EtOH (ethanol) supplemented food, remained mobile across a 60 second period following mechanical disturbance. Higher values indicate a greater startle response.",Morozova (2018) G3,Adult
startle.response.f,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Higher values indicate a greater startle response.,Mackay et al (2012) Nature,Adult
startle.response.m,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Higher values indicate a greater startle response.,Mackay et al (2012) Nature,Adult
startle.response.variance.f,Activity,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time a fly was active in the 45 seconds following a mechanical disturbance. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable startle response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).",Morgante et al (2015) Scientific Reports,Adult
startle.response.variance.m,Activity,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time a fly was active in the 45 seconds following a mechanical disturbance. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable startle response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).",Morgante et al (2015) Scientific Reports,Adult
startle.sensitivity.msb.f,Drug response,"Mean difference in startle response between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. Calculated as the difference between control and MSB conditions, divided by the population mean difference between control and MSB conditions. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.",Jordan et al (2012) PLOS One,Adult
startle.sensitivity.msb.m,Drug response,"Mean difference in startle response between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. Calculated as the difference between control and MSB conditions, divided by the population mean difference between control and MSB conditions. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.",Jordan et al (2012) PLOS One,Adult
starvation.resistance.2012.f,Stress response,Mean hours survived in culture vials containing non-nutritive medium. Higher values indicate greater starvation resistance.,Mackay et al (2012) Nature,Adult
starvation.resistance.2012.m,Stress response,Mean hours survived in culture vials containing non-nutritive medium. Higher values indicate greater starvation resistance.,Mackay et al (2012) Nature,Adult
starvation.resistance.2017.m,Stress response,Adult mean survival in the absence of food after two days is here used as a measure of starvation resistance. Higher values indicate greater survival and therefore higher starvation resistance.,Lee et al (2017) Genome Biology and Evolution,Adult
starvation.resistance.high.carb.diet.m,Stress response,"Survival time in hours for adult flies that were first flies maintained on a high carbohydrate diet (carbs:494.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",Francis et al (2021) G3,Adult
starvation.resistance.high.fat.diet.m,Stress response,"Survival time in hours for adult flies that were first flies maintained on a high fat diet (carbs:44.15g/L, protein:52g/L, fat:17.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",Francis et al (2021) G3,Adult
starvation.resistance.high.protein.diet.m,Stress response,"Survival time in hours for adult flies that were first flies maintained on a high protein diet (carbs:44.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",Francis et al (2021) G3,Adult
starvation.resistance.larvae,Stress response,Mean hours survived for larvae subjected to nutrient poor starvation medium (20% sucrose in PBS solution). Higher values indicate greater starvation resistance.,Akcay (2017) Thesis,Juvenile
starvation.resistance.old.f,Stress response,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 28-days old. Higher values indicate flies that exhibited greater starvation resistance.",Everman and Morgan (2017) Evolution,Adult
starvation.resistance.old.m,Stress response,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 28-days old. Higher values indicate flies that exhibited greater starvation resistance.",Everman and Morgan (2017) Evolution,Adult
